Name                                 Type        File
AddressType                          CodeSystem  codeSystems.fsh
AddressType                          ValueSet    valueSets.fsh
AddressUse                           CodeSystem  codeSystems.fsh
AddressUse                           ValueSet    valueSets.fsh
AdministrativeGender                 ValueSet    valueSets.fsh
ContactPointSystem                   CodeSystem  codeSystems.fsh
ContactPointSystem                   ValueSet    valueSets.fsh
ContactPointUse                      CodeSystem  codeSystems.fsh
ContactPointUse                      ValueSet    valueSets.fsh
Dhb_code                             ValueSet    valueSets.fsh
Domicile_code                        CodeSystem  codeSystems.fsh
Domicile_code                        ValueSet    valueSets.fsh
Ethnic05_2_2017                      CodeSystem  codeSystems.fsh
Ethnicity_lvl_2                      CodeSystem  codeSystems.fsh
Ethnicity_lvl_3                      CodeSystem  codeSystems.fsh
Gender                               ValueSet    valueSets.fsh
Gender_Legacy_1_1                    CodeSystem  codeSystems.fsh
Gender_Legacy_2_0                    CodeSystem  codeSystems.fsh
Hpi-ContactPointUse                  ValueSet    valueSets.fsh
Hpi_additional_authorisation         CodeSystem  codeSystems.fsh
Hpi_additional_authorisation         ValueSet    valueSets.fsh
Hpi_address_purpose                  CodeSystem  codeSystems.fsh
Hpi_address_type                     CodeSystem  codeSystems.fsh
Hpi_address_use                      CodeSystem  codeSystems.fsh
Hpi_alias_type                       CodeSystem  codeSystems.fsh
Hpi_contact_type                     CodeSystem  codeSystems.fsh
Hpi_contact_type                     ValueSet    valueSets.fsh
Hpi_contact_usage                    CodeSystem  codeSystems.fsh
Hpi_contact_usage                    ValueSet    valueSets.fsh
Hpi_country_code                     CodeSystem  codeSystems.fsh
Hpi_country_code_iso_3166_1          ValueSet    valueSets.fsh
Hpi_disestablishment_reason          CodeSystem  codeSystems.fsh
Hpi_disestablishment_reason          ValueSet    valueSets.fsh
Hpi_disestablishment_reason_10       CodeSystem  codeSystems.fsh
Hpi_ethnicity                        ValueSet    valueSets.fsh
Hpi_ethnicity_lvl_3                  ValueSet    valueSets.fsh
Hpi_facility_address_purpose         ValueSet    valueSets.fsh
Hpi_facility_address_type            ValueSet    valueSets.fsh
Hpi_facility_name_qualifier          ValueSet    valueSets.fsh
Hpi_facility_type                    CodeSystem  codeSystems.fsh
Hpi_facility_type                    ValueSet    valueSets.fsh
Hpi_language_code_iso_639_3          ValueSet    valueSets.fsh
Hpi_legacy_language                  CodeSystem  codeSystems.fsh
Hpi_legacy_language_code             ValueSet    valueSets.fsh
Hpi_legacy_name_prefix_10            CodeSystem  codeSystems.fsh
Hpi_legacy_name_type                 CodeSystem  codeSystems.fsh
Hpi_legacy_name_type                 ValueSet    valueSets.fsh
Hpi_legal_entity_type                CodeSystem  codeSystems.fsh
Hpi_legal_entity_type                ValueSet    valueSets.fsh
Hpi_legal_entity_type_10             ValueSet    valueSets.fsh
Hpi_location_address_use             ValueSet    valueSets.fsh
Hpi_location_alias_type              ValueSet    valueSets.fsh
Hpi_location_type                    CodeSystem  codeSystems.fsh
Hpi_location_type                    ValueSet    valueSets.fsh
Hpi_name_prefix                      ValueSet    valueSets.fsh
Hpi_name_qualifier                   CodeSystem  codeSystems.fsh
Hpi_nzscc4n99                        ValueSet    valueSets.fsh
Hpi_organisation_address_purpose     ValueSet    valueSets.fsh
Hpi_organisation_address_type        ValueSet    valueSets.fsh
Hpi_organisation_address_use         ValueSet    valueSets.fsh
Hpi_organisation_name_qualifier      ValueSet    valueSets.fsh
Hpi_organisation_type                CodeSystem  codeSystems.fsh
Hpi_organisation_type                ValueSet    valueSets.fsh
Hpi_organisation_type_10             ValueSet    valueSets.fsh
Hpi_organization_alias_type          ValueSet    valueSets.fsh
Hpi_practitioner_role                ValueSet    valueSets.fsh
Hpi_practitioner_role_status_reason  CodeSystem  codeSystems.fsh
Hpi_practitioner_role_status_reason  ValueSet    valueSets.fsh
Hpi_registration_status              CodeSystem  codeSystems.fsh
Hpi_registration_status              ValueSet    valueSets.fsh
Hpi_registration_status_legacy       CodeSystem  codeSystems.fsh
Hpi_registration_status_legacy       ValueSet    valueSets.fsh
Hpi_registration_type                ValueSet    valueSets.fsh
Hpi_registration_type_legacy         CodeSystem  codeSystems.fsh
Hpi_registration_type_legacy         ValueSet    valueSets.fsh
Hpi_scope_of_practice                ValueSet    valueSets.fsh
HumanNameUse                         ValueSet    valueSets.fsh
IdentfierUse                         ValueSet    valueSets.fsh
Identifier Type Codes                ValueSet    valueSets.fsh
IdentifierUse                        CodeSystem  codeSystems.fsh
IdentifierUse                        ValueSet    valueSets.fsh
Iso3166_1_2013                       CodeSystem  codeSystems.fsh
Iso639_3_2007                        CodeSystem  codeSystems.fsh
NameUse                              ValueSet    valueSets.fsh
Name_prefix                          CodeSystem  codeSystems.fsh
Nhi_address_not_validated_reason     CodeSystem  codeSystems.fsh
Nhi_address_not_validated_reason     ValueSet    valueSets.fsh
Nhi_address_type                     CodeSystem  codeSystems.fsh
Nhi_address_type                     ValueSet    valueSets.fsh
Nhi_citizenship_source               ValueSet    valueSets.fsh
Nhi_citizenship_status               CodeSystem  codeSystems.fsh
Nhi_citizenship_status               ValueSet    valueSets.fsh
Nhi_country_of_birth_source          ValueSet    valueSets.fsh
Nhi_date_of_birth_source             ValueSet    valueSets.fsh
Nhi_date_of_death_source             ValueSet    valueSets.fsh
Nhi_name_source                      CodeSystem  codeSystems.fsh
Nhi_name_source                      ValueSet    valueSets.fsh
Nhi_residency_source                 ValueSet    valueSets.fsh
Nzscc4n99                            CodeSystem  codeSystems.fsh
SnomedHealthOccupationSubset         CodeSystem  codeSystems.fsh
administrative-gender                Instance    instances.fsh
id-1                                 Instance    instances.fsh
id-33                                Instance    instances.fsh
id-34                                Instance    instances.fsh
id-4                                 Instance    instances.fsh
id-43                                Instance    instances.fsh
id-44                                Instance    instances.fsh
id-45                                Instance    instances.fsh
id-46                                Instance    instances.fsh
id-47                                Instance    instances.fsh
id-48                                Instance    instances.fsh
id-49                                Instance    instances.fsh
id-50                                Instance    instances.fsh
id-51                                Instance    instances.fsh
id-52                                Instance    instances.fsh
id-53                                Instance    instances.fsh
id-54                                Instance    instances.fsh
id-55                                Instance    instances.fsh
id-56                                Instance    instances.fsh
id-57                                Instance    instances.fsh
id-58                                Instance    instances.fsh
id-59                                Instance    instances.fsh
id-60                                Instance    instances.fsh
id-61                                Instance    instances.fsh
id-62                                Instance    instances.fsh
id-63                                Instance    instances.fsh
id-64                                Instance    instances.fsh
id-65                                Instance    instances.fsh
id-66                                Instance    instances.fsh
id-9                                 Instance    instances.fsh
name-use                             Instance    instances.fsh
v2-0203                              Instance    instances.fsh
