Name                                 Type        File
Dhb_code                             ValueSet    valuesets/Dhb_code.fsh
Dhb_code                             CodeSystem  codesystems/Dhb_code.fsh
Ethnic05_2_2017                      CodeSystem  codesystems/Ethnic05_2_2017.fsh
Hpi_ContactPointUse                  ValueSet    valuesets/Hpi_ContactPointUse.fsh
Hpi_HumanNameUse                     ValueSet    valuesets/Hpi_HumanNameUse.fsh
Hpi_IdentfierUse                     ValueSet    valuesets/Hpi_IdentfierUse.fsh
Hpi_additional_authorisation         ValueSet    valuesets/Hpi_additional_authorisation.fsh
Hpi_additional_authorisation         CodeSystem  codesystems/Hpi_additional_authorisation.fsh
Hpi_alias_type                       CodeSystem  codesystems/Hpi_alias_type.fsh
Hpi_country_code                     CodeSystem  codesystems/Hpi_country_code.fsh
Hpi_country_code_iso_3166_1          ValueSet    valuesets/Hpi_country_code_iso_3166_1.fsh
Hpi_ethnicity                        ValueSet    valuesets/Hpi_ethnicity.fsh
Hpi_language_code_iso_639_3          ValueSet    valuesets/Hpi_language_code_iso_639_3.fsh
Hpi_location_address_use             ValueSet    valuesets/Hpi_location_address_use.fsh
Hpi_location_alias_type              ValueSet    valuesets/Hpi_location_alias_type.fsh
Hpi_location_type                    ValueSet    valuesets/Hpi_location_type.fsh
Hpi_location_type                    CodeSystem  codesystems/Hpi_location_type.fsh
Hpi_name_prefix                      ValueSet    valuesets/Hpi_name_prefix.fsh
Hpi_organisation_type                ValueSet    valuesets/Hpi_organisation_type.fsh
Hpi_organisation_type                CodeSystem  codesystems/Hpi_organisation_type.fsh
Hpi_organization_alias_type          ValueSet    valuesets/Hpi_organization_alias_type.fsh
Hpi_practitioner_role                ValueSet    valuesets/Hpi_practitioner_role.fsh
Hpi_practitioner_role_status_reason  ValueSet    valuesets/Hpi_practitioner_role_status_reason.fsh
Hpi_practitioner_role_status_reason  CodeSystem  codesystems/Hpi_practitioner_role_status_reason.fsh
Hpi_registration_status              ValueSet    valuesets/Hpi_registration_status.fsh
Hpi_registration_status              CodeSystem  codesystems/Hpi_registration_status.fsh
Hpi_registration_type                ValueSet    valuesets/Hpi_registration_type.fsh
Hpi_registration_type                CodeSystem  codesystems/Hpi_registration_type.fsh
Hpi_scope_of_practice                ValueSet    valuesets/Hpi_scope_of_practice.fsh
Hpi_scope_of_practice                CodeSystem  codesystems/Hpi_scope_of_practice.fsh
Iso3166_1_2013                       CodeSystem  codesystems/Iso3166_1_2013.fsh
Iso639_3_2007                        CodeSystem  codesystems/Iso639_3_2007.fsh
Name_prefix                          CodeSystem  codesystems/Name_prefix.fsh
